Headline,URL
UN Security Council backs US Israel-Gaza ceasefire plan,https://www.bbc.com/news/articles/cw448x7lxggo
Four US college instructors stabbed in public park in China,https://www.bbc.com/news/articles/c844q27v732o
"Fire at famous Bangkok market kills 1,000 animals",https://www.bbc.com/news/articles/cw44gm303wro
Warning shots from South as NK soldiers cross border,https://www.bbc.com/news/articles/c511ve3051po
BMW China parts probe expanded by US Senate panel,https://www.bbc.com/news/articles/crgg7p95jdgo
Four US college instructors stabbed in public park in China,https://www.bbc.com/news/articles/c844q27v732o
Singapore Airlines turbulence victims offered payouts,https://www.bbc.com/news/articles/cpwwy3wq5p6o
Netanyahu walks tightrope as US urges Gaza ceasefire deal,https://www.bbc.com/news/articles/c511vl9yjwwo
Eight more die as India faces longest heatwave,https://www.bbc.com/news/articles/cz77jkk420lo
"Fire at famous Bangkok market kills 1,000 animals",https://www.bbc.com/news/articles/cw44gm303wro
Apple brings ChatGPT to iPhones in AI overhaul,https://www.bbc.com/news/articles/c4nn5mejl89o
YouTube prankster elected to European Parliament,https://www.bbc.com/news/articles/c4nnrwr72dqo
Aircraft carrying Malawi vice-president goes missing,https://www.bbc.com/news/articles/c4nn0zkq79ko
Baltimore shipping channel reopens after bridge collapse,https://www.bbc.com/news/articles/cnkk2d1ezzyo
US civil rights hero James Lawson dies at 95,https://www.bbc.com/news/articles/cw00w25x2pko
Features and analysis,https://www.bbc.com/news/articles/c722094n135o
'Becoming a totalitarian state': UK judge on why he quit Hong Kong court,https://www.bbc.com/news/articles/c722094n135o
Why the EU might be about to make Chinese electric cars more expensive,https://www.bbc.com/news/articles/cpww6w412n7o
Hardliners dominate Iran presidential candidates,https://www.bbc.com/news/articles/cy66y5xgjqgo
"Drugs, alcohol and a gun: Inside Hunter Biden's trial",https://www.bbc.com/news/videos/c7221r0v5q7o
Why voters fall out of love with liberation movements,https://www.bbc.com/news/articles/c166zlx6354o
Why the EU might be about to make Chinese electric cars more expensive,https://www.bbc.com/news/articles/cpww6w412n7o
A cartoon cat has been vexing China’s censors – now he says they are on his tail,https://www.bbc.com/news/articles/cv2260z4ny6o
Five ways Michael Mosley made us healthier,https://www.bbc.com/news/articles/c1wwv0405wyo
Hardliners dominate Iran presidential candidates,https://www.bbc.com/news/articles/cy66y5xgjqgo
